Question,Predicted Answer,Actual Answer
Are there any spoon in image?,Yes,Yes
How many sandwich in image?,0,1
Are there any sandwich in image?,No,Yes
Are there any orange in image?,No,No
Where is the cutlery?,Above,Left
Where is the gift being placed?,Left,Above
Is the glass to the left of the flower arrangement?,No,No
Is the plate under the present?,Yes,Yes
Is there a fork to the right of a present?,No,No
What color is the ribbon on the present?,Red,Green
What is the color of the flowers?,Yellow,White
What color are the presents in the chair?,Red,Red
Is the ribbon on the present green?,Yes,Yes
Is the tablecloth green?,Yes,Yes
How many person in image?,1,1
Are there any person in image?,Yes,Yes
How many baseball glove in image?,0,0
Are there any tennis racket in image?,No,No
Are there any bottle in image?,Yes,No
How many wine glass in image?,1,1
Are there any wine glass in image?,Yes,Yes
How many toilet in image?,0,0
Where is the wine glass held relative to the man's body?,Front,Left
Where are the curtains relative to the man?,Behind,Behind
Is the glass of wine in the man's right hand?,No,No
What is the color of the jacket?,Black,Red
What is the color of the pants?,Black,Black
What is the color of the armchair?,Red,Yellow
Is the color of the pants black?,Yes,Yes
Is the color of the jacket red?,Yes,Yes
Is the color of the curtain gray?,Yes,Yes
Are there any cat in image?,Yes,No
How many bear in image?,0,0
How many wine glass in image?,1,1
Are there any wine glass in image?,Yes,Yes
What is the name of the object in the image?,person,wine glass
Is the ball on the right of the glass?,No,No
Are the two balls on the bottom left of the glass?,No,No
What is the color of the liquid in the glass?,Red,Yellow
What is the color of the wooden floor?,Brown,Brown
Is the floor brown?,Yes,Yes
Is the liquid in the glass yellow?,Yes,Yes
Are the ornaments gold?,Yes,Yes
How many person in image?,1,1
Are there any person in image?,Yes,Yes
How many zebra in image?,0,0
Are there any tie in image?,No,No
Are there any suitcase in image?,No,No
Are there any baseball bat in image?,No,No
How many wine glass in image?,1,1
Are there any wine glass in image?,Yes,Yes
Where is the chair relative to the door?,Left,Right
Is the book between the woman and the armchair?,Yes,Yes
Is the glass below the book?,No,No
What is the color of the door?,White,Brown
What color is the woman's shirt?,White,Black
What color is the wall behind the woman?,White,Orange
Is the door brown?,Yes,Yes
Is the woman's shirt black?,Yes,Yes
How many person in image?,1,1
Are there any person in image?,Yes,Yes
What is the name of the object in the image?,person,person
What is the color of the grass?,Green,Green
What color is the woman's dress?,Black,White
What color are the ribbons on the wine glass?,Red,White
Is the woman's dress white?,Yes,Yes
Is the grass green?,Yes,Yes
Are the ribbons on the wine glass white?,Yes,Yes
Are there any frisbee in image?,No,No
How many wine glass in image?,1,1
Are there any wine glass in image?,Yes,Yes
What is the name of the object in the image?,person,wine glass
Where is the wine glass relative to the woman's face?,Front,Below
Is the woman's hand below her face?,No,No
What is the color of the woman's eyes?,Brown,Blue
What is the color of the woman's lips?,Red,Red
What is the color of the floor?,Brown,Brown
Is the color of the floor dark?,Yes,Yes
Are the woman's eyes blue?,Yes,Yes
Is the woman's hair black?,Yes,Yes
Are there any bus in image?,No,No
Are there any bear in image?,No,No
Are there any handbag in image?,No,No
How many wine glass in image?,1,1
Are there any wine glass in image?,Yes,Yes
How many bowl in image?,1,1
Are there any bowl in image?,Yes,Yes
Are there any orange in image?,No,No
Is the bowl to the right of the glass?,No,No
Is the wineglass next to pepper grinder?,Yes,Yes
What color is the wine in the glass?,Red,Yellow
What color is the bowl?,White,White
What color is the pasta?,Yellow,Yellow
Is the color of the wine in the glass yellow?,Yes,Yes
Is the color of the bowl white?,Yes,Yes
Is the pasta color yellow?,Yes,Yes
How many fire hydrant in image?,0,0
How many wine glass in image?,1,1
Are there any wine glass in image?,Yes,Yes
How many orange in image?,0,1
Are there any orange in image?,No,Yes
How many potted plant in image?,1,0
How many vase in image?,1,0
Where is the strawberry relative to woman's face?,Above,Above
Where is the bread?,Left,Below
Is the strawberry below the plate?,No,No
What is the color of the strawberry?,Red,Red
What is the color of the wine?,Red,Pink
What color is the sky?,Blue,Blue
Is there a strawberry in the image?,Yes,Yes
Is there a wine glass in this image?,Yes,Yes
Does the woman wear yellow clothes?,No,No
How many wine glass in image?,1,1
Are there any wine glass in image?,Yes,Yes
What is the name of the object in the image?,person,wine glass
How many couch in image?,0,0
How many toilet in image?,0,0
Where is the truffle located?,Left,Right
Where is the wineglass located?,Right,Left
Is the pasta in the middle of the plate?,Yes,Yes
What is the color of the soup?,Yellow,Yellow
What is the color of the plate?,White,White
Is the plate white?,Yes,Yes
Is the soup yellow?,Yes,Yes
Is the background gray?,Yes,Yes
How many person in image?,1,2
Are there any person in image?,Yes,Yes
Are there any bird in image?,Yes,No
Are there any horse in image?,Yes,No
Are there any cow in image?,No,No
Are there any snowboard in image?,No,No
Are there any mouse in image?,No,No
Where is the woman relative to the man?,Behind,Below
Where is the glass relative to the man's head?,Above,Above
Is the hand holding a glass at the top of the image?,Yes,Yes
Is there a person with curly hair?,Yes,Yes
Is there a man in the image?,Yes,Yes
What color is the shirt?,White,White
What color is the background?,Green,Black
What color are the glitters?,Red,Yellow
Is the man wearing a red shirt?,No,No
Is the woman wearing a dress?,Yes,Yes
How many person in image?,1,1
Are there any person in image?,Yes,Yes
How many bus in image?,1,0
How many traffic light in image?,0,0
Are there any frisbee in image?,No,No
How many wine glass in image?,1,1
Are there any wine glass in image?,Yes,Yes
Are there any spoon in image?,Yes,No
How many bowl in image?,1,2
Are there any bowl in image?,Yes,Yes
What is the location of the olives relative to the peppers?,Below,Left
What is the position of the bottle relative to the glass?,Left,Behind
What is the location of the sardine relative to the olives?,Above,Right
Is the bottle located to the left of the man?,No,No
Is the bowl of olives to the right of the bowl of fish?,No,No
What color is the bottle?,Brown,Black
What color is the scarf?,Red,Blue
Is the scarf blue?,Yes,Yes
Is the jacket gray?,Yes,Yes
Is the bottle black?,Yes,Yes
How many person in image?,1,2
Are there any person in image?,Yes,Yes
How many bottle in image?,1,1
Are there any bottle in image?,Yes,Yes
How many wine glass in image?,1,2
Are there any wine glass in image?,Yes,Yes
Are there any cake in image?,No,No
How many dining table in image?,1,1
Are there any dining table in image?,Yes,Yes
Are there any mouse in image?,No,No
Where is the bottle?,Right,Above
Where is the foot?,Below,Below
Is the bottle on the table?,Yes,Yes
Are the orange shoes on the floor?,No,No
What is the color of the floor?,Brown,Brown
What color are the high heels?,Black,Black
Is the color of the high heels black?,Yes,Yes
Is the color of one of the shoes white?,Yes,Yes
Is the color of the table gold?,Yes,Yes
Are there any sports ball in image?,No,No
How many baseball bat in image?,0,0
How many wine glass in image?,1,1
Are there any wine glass in image?,Yes,Yes
How many chair in image?,1,1
Are there any chair in image?,Yes,Yes
Where is the curtain?,Behind,Behind
Is the glass on the table?,Yes,Yes
Is the table next to the curtain?,Yes,Yes
Is the chair front the curtain?,No,No
What color is the table?,Brown,White
What color is the water?,Blue,Blue
Is the table white?,Yes,Yes
Is the curtain color white?,Yes,Yes
Is the sea color blue?,Yes,Yes
How many person in image?,1,1
Are there any person in image?,Yes,Yes
Are there any boat in image?,No,No
Are there any horse in image?,Yes,No
How many wine glass in image?,1,1
Are there any wine glass in image?,Yes,Yes
How many knife in image?,1,0
How many pizza in image?,0,2
Are there any pizza in image?,No,Yes
How many toothbrush in image?,0,0
Where is the fridge?,Behind,Behind
Where is the pepperoni pizza piece compared to the woman's face?,Above,Above
Is the glass of pink wine to the left of the pizza on the table?,No,No
Is the refrigerator front the person?,No,No
What color is the pizza crust?,Brown,Brown
What color is the wine?,Red,Red
What color is the hand's bracelet?,Black,Red
Is the liquid in the glass red?,Yes,Yes
Is the pizza crust brown?,Yes,Yes
How many person in image?,1,2
Are there any person in image?,Yes,Yes
Are there any stop sign in image?,No,No
Are there any umbrella in image?,No,No
How many bottle in image?,1,1
Are there any bottle in image?,Yes,Yes
How many wine glass in image?,1,1
Are there any wine glass in image?,Yes,Yes
How many cup in image?,1,1
Are there any cup in image?,Yes,Yes
Are there any hot dog in image?,No,No
How many chair in image?,1,1
Are there any chair in image?,Yes,Yes
How many dining table in image?,1,1
Are there any dining table in image?,Yes,Yes
Where is wine bottle?,Right,Right
Where is cellphone?,Left,Left
Is the bottle of wine next to the wooden box?,Yes,Yes
Is the wine glass on the right side of the bottle of wine?,No,No
What color is the shirt the person on the right is wearing?,Blue,Black
What is the color of the chair behind the person on the left?,Red,Blue
What color is the wine bottle?,Green,Black
Is the wine bottle black?,Yes,Yes
Is the hat brown?,Yes,Yes
Are there any skateboard in image?,No,No
How many wine glass in image?,1,2
Are there any wine glass in image?,Yes,Yes
How many cup in image?,1,0
Where is the rope?,Above,Right
Where is the bottle?,Right,Behind
Are the two glasses on a wooden board?,Yes,Yes
Is the bottle next to the rope?,Yes,Yes
What color is the wood board?,Brown,Brown
Is the liquid in the glasses dark?,Yes,Yes
Is the wooden board brown?,Yes,Yes
Is the rope white?,Yes,No
Are there any dog in image?,Yes,No
Are there any bowl in image?,Yes,No
How many chair in image?,1,5
Are there any chair in image?,Yes,Yes
How many dining table in image?,1,1
Are there any dining table in image?,Yes,Yes
Are there any remote in image?,No,No
Where is the tree?,Left,Behind
Is the table under the tree?,Yes,Yes
Are there flowers on the table?,Yes,Yes
What color is the table?,Brown,Brown
What is the color of the chairs?,Brown,Brown
What color are the leaves of the tree?,Green,Green
Is the table made of wood?,Yes,Yes
Are the tree leaves green?,Yes,Yes
Are there flowers on the table?,Yes,Yes
How many person in image?,1,1
Are there any person in image?,Yes,Yes
What is the name of the object in the image?,person,person
Are there any umbrella in image?,No,No
Where is the wine glass next to the pillow?,Right,Left
Where is the basket near window?,Left,Right
Where is the woman relative to the corrugated metal?,Behind,Front
Is there a bottle on the table next to the flowers?,Yes,Yes
Is the basket to the right of the window?,No,No
What color is the pillow on the right?,Red,Black
What color is the wine in the glass on the ground?,Red,Red
What color is the basket?,Brown,Brown
Is there a purple liquid in the glass on the floor?,No,No
Is the basket on the ground brown?,Yes,Yes
Is there yellow pillow on the right?,No,No
How many airplane in image?,1,0
How many cup in image?,1,1
Are there any cup in image?,Yes,Yes
What is the name of the object in the image?,person,cup
Are there any chair in image?,Yes,No
How many clock in image?,1,0
Where is the straight glass?,Left,Right
Where is the fallen glass?,Above,Left
Is one glass lying down?,Yes,Yes
Is one glass standing upright?,Yes,Yes
What is the color of the surface?,White,White
Does the glass have any color?,Yes,No
Does the glass have a transparent color?,Yes,Yes
How many person in image?,1,2
Are there any person in image?,Yes,Yes
Are there any tennis racket in image?,No,No
Is the woman in behind of the man?,No,No
Is the ocean front the people?,No,No
What color is the shirt?,White,Black
What color is the sky?,Blue,Blue
Is the sky blue?,Yes,Yes
Is the shirt black?,Yes,Yes
Is the dress gray?,Yes,Yes
How many person in image?,1,1
Are there any person in image?,Yes,Yes
What is the name of the object in the image?,person,person
How many oven in image?,0,0
Are the feet in the water?,Yes,Yes
What color is the dress?,White,Purple
What color are the rocks in the water?,Brown,Grey
Is the dress blue?,Yes,Yes
Are there any rocks in the water?,Yes,Yes
Is the skin color tan?,Yes,Yes
Are there any car in image?,Yes,No
Are there any train in image?,No,No
How many fork in image?,1,1
Are there any fork in image?,Yes,Yes
How many knife in image?,1,1
Are there any knife in image?,Yes,Yes
Is the blue napkin on the plate?,No,No
What is the color of the napkin?,White,Red
What color is the plate?,White,Brown
What color is the flower?,White,Red
Is the napkin red?,Yes,Yes
Is the plate brown?,Yes,Yes
Is the flower pink?,Yes,Yes
How many tie in image?,0,0
Are there any tennis racket in image?,No,No
How many wine glass in image?,1,2
Are there any wine glass in image?,Yes,Yes
How many bowl in image?,1,1
Are there any bowl in image?,Yes,Yes
Where are the wine glasses relative to the wooden board?,Above,Below
Where is the fire relative to the wooden board?,Above,Above
Are the wine glasses on a tree stump?,Yes,Yes
Is the cutting board below the wine glasses?,No,No
Is the fire pit front the cutting board?,No,No
What color is the fire?,Orange,Orange
What is the color of the wine in the glasses?,Red,Yellow
What is the color of the fire pit?,Orange,Black
Is the fire orange?,Yes,Yes
Are the logs near the fire brown?,Yes,Yes
Are there any truck in image?,Yes,No
Are there any zebra in image?,No,No
How many bottle in image?,1,1
Are there any bottle in image?,Yes,Yes
How many wine glass in image?,1,2
Are there any wine glass in image?,Yes,Yes
How many cup in image?,1,1
Are there any cup in image?,Yes,Yes
Are there any potted plant in image?,Yes,No
Is the wine bottle located to the left of the flowers?,No,No
Is the wine glass containing black wine in front of another wine glass?,No,No
Is there a wine glass on the highest table?,Yes,Yes
What color is the wine in the glass?,Red,Red
What color are some of the flowers?,Pink,Yellow
Are the table frames gold?,Yes,Yes
Are there any stop sign in image?,No,No
Are there any skateboard in image?,No,No
How many bottle in image?,1,2
Are there any bottle in image?,Yes,Yes
How many wine glass in image?,1,1
Are there any wine glass in image?,Yes,Yes
How many spoon in image?,1,1
Are there any spoon in image?,Yes,Yes
How many dining table in image?,1,1
Are there any dining table in image?,Yes,Yes
Are there any toilet in image?,No,No
Where is the wine bottle relative to the plate?,Right,Right
Where is the eyeglasses relative to the other glass?,Left,Below
Is the small bottle on the right side of the plate?,No,No
Is there a spoon on the plate?,Yes,Yes
What color is the plate?,White,Blue
What color is the wine in the bottle?,Red,Pink
What color is the napkin?,White,Blue
Is the plate blue?,Yes,Yes
Is the napkin blue?,Yes,Yes
Is the wine in the bottle pink?,Yes,Yes
How many car in image?,1,0
Are there any truck in image?,Yes,No
Are there any boat in image?,No,No
Are there any umbrella in image?,No,No
How many wine glass in image?,1,2
Are there any wine glass in image?,Yes,Yes
Are there any banana in image?,No,No
How many book in image?,1,2
Are there any book in image?,Yes,Yes
What is the position of the plant in relation to the bottle?,Left,Behind
Is the plant front the bottle?,No,No
Is there a wine glass on top of the books?,Yes,Yes
Is the candle next to the plant?,Yes,Yes
What is the color of the plant leaves?,Green,Green
What is the color of the book on the top?,Blue,Red
What color is the wine?,Red,Red
Is the wine in the glass red?,Yes,Yes
Are the candles white?,Yes,Yes
Are the plant leaves green?,Yes,Yes
How many person in image?,1,1
Are there any person in image?,Yes,Yes
What is the name of the object in the image?,person,person
Are there any snowboard in image?,No,No
How many skateboard in image?,0,0
What color is the door?,White,White
What color is the person's hair?,Red,Brown
Is the person wearing a green shirt?,No,No
Is the hair of the person black?,Yes,Yes
Is the picture frame gold in color?,Yes,Yes
How many person in image?,1,2
Are there any person in image?,Yes,Yes
How many wine glass in image?,1,1
Are there any wine glass in image?,Yes,Yes
How many remote in image?,0,0
What is the location of the bottle in relation to the glass?,Left,Above
What is the position of flower in relation to the wine?,Above,Behind
Is the bottle below the wine glass?,No,No
Is the picnic basket front the wine glass?,No,No
Is the flower in behind of the picnic basket?,No,No
What is the color of the grass?,Green,Green
What is the color of the liquid in the wine glass?,Red,Pink
What is the color of the dress on the left?,Red,Green
Is there a basket in this image?,Yes,Yes
Is the liquid in the bottle pink?,Yes,Yes
Is the dress on the right green?,No,No
How many person in image?,1,1
Are there any person in image?,Yes,Yes
How many wine glass in image?,1,1
Are there any wine glass in image?,Yes,Yes
How many tv in image?,0,0
Where is the light string in relation to the man?,Above,Above
Where is the glass of champagne in relation to the man?,Front,Front
Is the glass on the table?,Yes,Yes
Are the string lights below the man?,No,No
What is the color of the shirt?,White,White
What is the color of the flower?,Yellow,Pink
What color is the liquid in the glass?,Red,Yellow
Is the shirt white?,Yes,Yes
Are the flowers purple?,Yes,Yes
Are the lights yellow?,Yes,Yes
How many wine glass in image?,1,1
Are there any wine glass in image?,Yes,Yes
Are there any fork in image?,Yes,No
How many chair in image?,1,1
Are there any chair in image?,Yes,Yes
How many vase in image?,1,1
Are there any vase in image?,Yes,Yes
How many person in image?,1,1
Are there any person in image?,Yes,Yes
Are there any traffic light in image?,No,No
How many wine glass in image?,1,1
Are there any wine glass in image?,Yes,Yes
How many chair in image?,1,1
Are there any chair in image?,Yes,Yes
Are there any laptop in image?,No,No
Are there any microwave in image?,No,No
Where is the martini relative to the woman?,Left,Front
Where is the chair relative to the woman?,Behind,Right
Is the olive inside the glass?,Yes,Yes
Is the chain around the neck?,Yes,Yes
What color is the dress?,White,Pink
What color is the olive in the glass?,Green,Green
What color is the towel on the head?,White,White
Is the dress pink?,Yes,Yes
Is the olive in the glass green?,Yes,Yes
Is the towel on the head white?,Yes,Yes
How many person in image?,1,1
Are there any person in image?,Yes,Yes
How many truck in image?,1,0
How many wine glass in image?,1,2
Are there any wine glass in image?,Yes,Yes
What is the position of the wine glass with respect to the women?,Front,Front
What is the position of the women with respect to the window?,Front,Front
What is the position of the hair with respect to the face?,Front,Above
Is there a window in the background?,Yes,Yes
Is the wine glass on the right side of the image?,No,No
Are the two women kissing?,Yes,Yes
What color is the coat?,Black,Green
What color are the trousers?,Black,Brown
What color is the shirt?,White,White
Is the coat green?,Yes,Yes
Does the shirt have orange color?,No,No
Are there any umbrella in image?,No,No
How many bottle in image?,1,1
Are there any bottle in image?,Yes,Yes
How many wine glass in image?,1,1
Are there any wine glass in image?,Yes,Yes
How many fork in image?,1,1
Are there any fork in image?,Yes,Yes
How many spoon in image?,1,1
Are there any spoon in image?,Yes,Yes
Are there any vase in image?,Yes,No
Where is the wine bottle located relative to the plate?,Right,Behind
Where are the utensils located relative to the plate?,Above,Right
Where is the bread located relative to the pasta?,Left,Above
Is the wine glass to the left of the wine bottle?,No,No
Is there bread on the plate?,Yes,Yes
What color is the wine in the glass?,Red,Red
What color is the pasta?,Yellow,Yellow
What color is the basil?,Green,Green
Is the wine in the glass red?,Yes,Yes
Is the basil green?,Yes,Yes
Does the bottle have some gold on it?,Yes,Yes
How many wine glass in image?,1,1
Are there any wine glass in image?,Yes,Yes
What is the name of the object in the image?,person,wine glass
How many knife in image?,1,0
How many oven in image?,0,0
Where is wine?,Above,Behind
Is the vase with flowers to the right of the wine glass?,No,No
Is there a plate to the left of the wine glass?,No,No
What is the color of the seeds on the bread?,Brown,Brown
What color is the wine in the glass?,Red,Yellow
What color are the flowers?,White,White
Is the wine in the glass yellow?,Yes,Yes
Are the seeds on the bread dark?,Yes,Yes
Are the flowers white?,Yes,Yes
How many person in image?,1,1
Are there any person in image?,Yes,Yes
Are there any bird in image?,Yes,No
How many wine glass in image?,1,1
Are there any wine glass in image?,Yes,Yes
Where is the glass relative to the woman?,Front,Front
What color is the dress?,White,Black
What color is the drink?,Yellow,Yellow
Is the dress black?,Yes,Yes
Is the background silver?,Yes,Yes
Is the drink yellow?,Yes,Yes
How many person in image?,1,2
Are there any person in image?,Yes,Yes
How many boat in image?,1,0
How many wine glass in image?,1,1
Are there any wine glass in image?,Yes,Yes
Where is the woman with curly hair relative to the other woman?,Right,Left
Is the woman with blue hair on the right side of the image?,No,No
Is the garland around the woman's legs?,Yes,Yes
Is the couch between the two women?,Yes,Yes
What is the color of the tinsel around the woman on the right's neck?,Red,Red
What color is the woman on the left's dress?,Red,Brown
Is the tinsel around the woman on the right's neck red?,Yes,Yes
Is the tinsel around the woman on the left's legs golden?,Yes,Yes
Is the woman on the right wearing a dress?,No,No
How many person in image?,1,2
Are there any person in image?,Yes,Yes
Are there any fire hydrant in image?,No,No
How many wine glass in image?,1,1
Are there any wine glass in image?,Yes,Yes
How many cake in image?,1,1
Are there any cake in image?,No,Yes
Where is the lamp relative to the man?,Left,Left
Where is the sales sign?,Above,Front
Is the glass in the woman's hand?,Yes,Yes
Is the gift box on the counter?,Yes,Yes
Is there a sign next to the gift box?,Yes,Yes
What is the color of the sweater?,White,Brown
What color is the drink in the glass?,Red,Yellow
What is the color of the sign?,Red,Pink
Is the woman's sweater brown?,Yes,Yes
Is there a red color on the woman's sweater?,No,No
Is the man's jacket brown?,Yes,Yes
How many chair in image?,1,1
Are there any chair in image?,Yes,Yes
How many microwave in image?,0,0
How many vase in image?,1,1
Are there any vase in image?,Yes,Yes
Where is the pink glass?,Right,Left
Where is the plate?,Left,Right
Is the orange pot behind the plate?,No,No
Is a plant between the glass and the plate?,Yes,Yes
What is the color of the pot in the middle?,Brown,Brown
What is the color of the red pot?,Red,Red
What is the color of the glass?,Green,Pink
Is the glass pink?,Yes,Yes
Is the pot red?,Yes,Yes
Is the pot brown?,Yes,Yes
How many person in image?,1,3
Are there any person in image?,Yes,Yes
Are there any train in image?,No,No
How many wine glass in image?,1,1
Are there any wine glass in image?,Yes,Yes
How many orange in image?,0,0
How many chair in image?,1,1
Are there any chair in image?,Yes,Yes
Is the person with the silver jacket to the left of the person with the red jacket?,No,No
Is the person with the yellow sweater to the left of the person with the red jacket?,No,No
What color is the person on the middle wearing?,Black,Red
What color is the top of the person on the left?,Black,Blue
Does the middle person wear a blue jacket?,No,No
Does the person on the right wear a blue sweater?,No,No
Is there a silver colored top?,Yes,Yes
How many person in image?,1,7
Are there any person in image?,Yes,Yes
Where is the Christmas tree?,Left,Left
Is the television on the floor?,Yes,Yes
Is the door front the group of people?,No,No
What color is the TV?,Black,Orange
What color is the rug?,Red,Red
What color is the Christmas tree?,Green,Green
What color is the TV?,Black,Red
What color is the Christmas tree?,Green,Green
Is the rug red?,Yes,Yes
How many wine glass in image?,1,1
Are there any wine glass in image?,Yes,Yes
What is the name of the object in the image?,person,wine glass
How many cake in image?,1,0
Where is the heart relative to the stem?,Above,Right
What color is the liquid in the glass?,Red,Pink
What color is the rim of the glass?,Red,Brown
Is the heart-shaped item black?,Yes,Yes
Is the rim of the glass a pinkish color?,Yes,Yes
Is the liquid in the glass a light orange color?,No,No
How many person in image?,1,5
Are there any person in image?,Yes,Yes
Are there any cow in image?,No,No
Are there any sports ball in image?,No,No
Are there any baseball bat in image?,No,No
How many cake in image?,1,1
Are there any cake in image?,No,Yes
Are there any vase in image?,Yes,No
Is the cake on the table?,Yes,Yes
Is the baby in the woman's arms?,Yes,Yes
Is the baby wearing red?,Yes,Yes
What is the color of the baby's shirt?,White,Red
What color is the curtain?,Brown,Brown
What color are the lights on the table?,Yellow,White
Is the baby wearing a black shirt?,No,No
Is there a purple candle in the image?,No,No
Is the headband red?,Yes,Yes
Are there any cow in image?,No,No
How many wine glass in image?,1,1
Are there any wine glass in image?,Yes,Yes
How many cup in image?,1,1
Are there any cup in image?,Yes,Yes
How many sandwich in image?,0,0
Where is the wine glass?,Right,Left
Where are the books?,Behind,Above
Is the lamp to the left of the stack of books?,No,No
What color is the lamp shade?,White,White
What color is the liquid in the glass?,Red,Red
Is the lampshade white?,Yes,Yes
Is the wall yellow?,Yes,Yes
Are there any boat in image?,No,No
Are there any handbag in image?,No,No
How many bottle in image?,1,1
Are there any bottle in image?,Yes,Yes
How many wine glass in image?,1,1
Are there any wine glass in image?,Yes,Yes
Are there any couch in image?,No,No
Is the bottle on the left side of the plate?,No,No
Is the candle to the right of the bottle?,No,No
What color is the jacket?,Black,Red
What color are the truffles?,Brown,Brown
What color is the shirt?,White,White
Is the jacket red?,Yes,Yes
Is the shirt white?,Yes,Yes
Are the truffles brown?,Yes,Yes
How many person in image?,1,1
Are there any person in image?,Yes,Yes
Are there any umbrella in image?,No,No
How many wine glass in image?,1,1
Are there any wine glass in image?,Yes,Yes
How many orange in image?,0,0
Are there any pizza in image?,No,No
Is the dress light in color?,Yes,Yes
Is the background gray?,Yes,Yes
Is the wall light gray?,Yes,Yes
Are there any motorcycle in image?,Yes,No
How many bottle in image?,1,1
Are there any bottle in image?,Yes,Yes
How many wine glass in image?,1,2
Are there any wine glass in image?,Yes,Yes
How many hair drier in image?,0,0
What is the position of the grapes on the left?,Left,Below
Are the grapes on the bed?,Yes,Yes
What is the color of the grapes?,Green,Green
What color are the flowers on the left?,Pink,Yellow
What color is the wine in the glass?,Red,Red
Are the grapes green?,Yes,Yes
Is the pillow purple?,Yes,Yes
Is there any white flower?,No,No
How many person in image?,1,1
Are there any person in image?,Yes,Yes
How many sports ball in image?,0,0
Are there any baseball bat in image?,No,No
How many baseball glove in image?,0,0
How many bottle in image?,1,1
Are there any bottle in image?,Yes,Yes
How many laptop in image?,0,1
Are there any laptop in image?,No,Yes
Where is the vase?,Right,Left
Is the laptop in behind of the bottle?,No,No
Is the bottle front the vase?,No,No
What color are the stripes on the person's clothing?,Black,Pink
What is the color of the vase?,White,White
What is the color of the table?,Brown,Brown
Is the vase white?,Yes,Yes
Are there purple stripes on the person's sleeve?,No,No
Is the bottle green?,Yes,Yes
How many person in image?,1,1
Are there any person in image?,Yes,Yes
Are there any bus in image?,No,No
Are there any umbrella in image?,No,No
Are there any surfboard in image?,No,No
How many wine glass in image?,1,1
Are there any wine glass in image?,Yes,Yes
How many sandwich in image?,0,0
Are there any cell phone in image?,No,No
Where is the glass in relation to microphone?,Left,Left
Is there a wine glass next to the microphone?,Yes,Yes
Is the neon light below the person's head?,No,No
What is the color of the neon light?,Red,Green
What color is the hair?,Brown,Purple
What is the color of the headphone?,Black,Orange
Is the hair purple?,Yes,Yes
Is the neon light green?,Yes,Yes
Are the headphones orange?,Yes,Yes
How many person in image?,1,1
Are there any person in image?,Yes,Yes
How many stop sign in image?,0,0
How many wine glass in image?,1,1
Are there any wine glass in image?,Yes,Yes
Where is the woman in relation to the basket?,Front,Right
Where is the glass in relation to her chest?,Above,Above
Where is the ladder in relation to the woman?,Behind,Left
Is the glass in the woman's hand?,Yes,Yes
Is there a basket below the woman?,No,No
Is the ladder on the right of the woman?,No,No
How many person in image?,1,1
Are there any person in image?,Yes,Yes
How many truck in image?,1,0
How many wine glass in image?,1,1
Are there any wine glass in image?,Yes,Yes
Are there any mouse in image?,No,No
Where is the woven basket relative to the woman?,Left,Above
Is there a blanket on the ladder?,Yes,Yes
Is the basket above the ladder?,No,No
What is the color of the woman's shirt?,White,Blue
What color are the leaves on the wall?,Green,Green
What is the color of the drink in the glass?,Red,Red
How many person in image?,1,1
Are there any person in image?,Yes,Yes
Are there any bird in image?,Yes,No
How many wine glass in image?,1,1
Are there any wine glass in image?,Yes,Yes
Are there any cup in image?,Yes,No
How many sandwich in image?,0,1
Are there any sandwich in image?,No,Yes
How many chair in image?,1,1
Are there any chair in image?,Yes,Yes
Are there any scissors in image?,Yes,No
Where is the wine in relation to the grapes?,Above,Behind
Is the croissant in the man's hand?,Yes,Yes
What color is the man's jacket?,Black,Brown
What color are the grapes?,Green,Green
What color is the liquid in the wine glass?,Red,Red
Is the man's jacket brown?,Yes,Yes
Is the scarf black?,Yes,Yes
Are the grapes green?,Yes,Yes
How many bus in image?,1,0
How many wine glass in image?,1,1
Are there any wine glass in image?,Yes,Yes
How many cup in image?,1,1
Are there any cup in image?,Yes,Yes
Are there any broccoli in image?,No,No
Are there any carrot in image?,No,No
Are there any tv in image?,No,No
Are there any laptop in image?,No,No
What is the position of the shot glass relative to the large glass?,Above,Left
Is the shot glass to the right of the wine glass?,No,No
Is the wine glass containing ice?,Yes,Yes
What is the color of the background?,Green,Black
What is the color of the liquid in the small glass?,Yellow,White
What is the color of the liquid in the big glass?,Red,Brown
Is the liquid in the small glass white?,Yes,Yes
Is the liquid in the big glass tan?,Yes,Yes
Is the background black?,Yes,Yes
How many umbrella in image?,0,0
How many wine glass in image?,1,1
Are there any wine glass in image?,Yes,Yes
How many broccoli in image?,0,0
How many dining table in image?,1,1
Are there any dining table in image?,Yes,Yes
Are there any microwave in image?,No,No
Is the glass on the table?,Yes,Yes
Are the plants front the table?,No,No
What color is the rim of the glass?,Red,Yellow
What color is the drink?,Yellow,Green
What color is the table?,Brown,Brown
Is the rim of the glass yellow?,Yes,Yes
Is the table brown?,Yes,Yes
Is there any brown on the plant?,No,No
Are there any car in image?,Yes,No
How many wine glass in image?,1,2
Are there any wine glass in image?,Yes,Yes
Are the glass jars in the foreground?,Yes,Yes
Are most of the wine glasses flipped upside down?,Yes,Yes
What color is the plant in the upper left?,Green,Red
What color is the surface that the glasses are placed on?,White,White
What color is the inside of the jar?,Brown,Brown
Is there a reddish-brown plant in the image?,Yes,Yes
How many person in image?,1,1
Are there any person in image?,Yes,Yes
Are there any dog in image?,Yes,No
Are there any cow in image?,No,No
How many sports ball in image?,0,0
How many wine glass in image?,1,1
